frecuencia neg,frecuencia pos,palabra
416,292,stuff
1408,1086,going
302,360,moment
0,28,mj
1696,1406,ve
323,254,started
54,61,listening
840,1038,music
1558,1161,watching
180,182,odd
226,314,documentary
687,662,watched
6,1,wiz
0,13,moonwalker
856,562,maybe
1293,922,want
3079,2552,get
195,292,certain
48,64,insight
1225,646,guy
1048,977,thought
3825,3327,really
279,297,cool
30,43,eighties
2892,2044,make
629,600,mind
248,280,whether
53,68,guilty
93,152,innocent
1180,1219,part
23,29,biography
222,264,feature
11846,12601,film
472,562,remember
3280,3585,see
384,509,cinema
81,97,originally
240,324,released
65,202,subtle
52,38,messages
344,379,feeling
177,196,towards
49,32,press
2218,3323,also
415,257,obvious
231,280,message
105,98,drugs
4513,1122,bad
1845,1202,m
22,28,kay
48,92,visually
103,191,impressive
694,847,course
319,511,michael
80,128,jackson
339,81,unless
106,12,remotely
6913,5437,like
392,278,anyway
268,208,hate
1109,1365,find
862,223,boring
859,1162,may
332,221,call
2,2,egotist
1,2,consenting
1068,726,making
14981,11437,movie
376,466,fans
4237,3203,would
1815,1467,say
2795,2257,made
538,865,true
520,646,nice
266,204,actual
763,1045,bit
442,479,finally
410,330,starts
1267,494,minutes
3,4,excluding
13,55,smooth
77,128,criminal
260,282,sequence
196,255,joe
11,7,pesci
149,153,convincing
3,10,psychopathic
85,303,powerful
127,114,drug
97,136,lord
365,428,wants
639,467,dead
312,215,beyond
2,3,overheard
59,80,plans
5,2,nah
2142,2126,character
0,2,ranted
477,324,wanted
2941,2676,people
2040,1657,know
2,5,supplying
398,329,etc
12,2,dunno
31,30,hates
250,232,lots
1140,1108,things
114,86,turning
460,299,car
67,64,robot
1054,781,whole
68,78,speed
67,42,demon
1490,1224,director
931,1064,must
30,18,patience
12,29,saint
471,545,came
139,98,filming
1,3,kiddy
323,271,usually
206,206,directors
208,289,working
7914,8172,one
401,314,kid
865,538,let
350,324,alone
361,147,bunch
28,59,performing
74,193,complex
174,260,dance
1705,1600,scene
178,71,bottom
619,511,line
309,300,level
1370,1274,another
2211,2253,think
299,193,stay
893,800,away
613,471,try
1140,931,give
12,17,wholesome
24,47,ironically
0,1,bestest
73,83,buddy
867,841,girl
442,582,truly
180,195,talented
1995,1681,ever
108,103,grace
149,152,planet
2600,3756,well
252,289,attention
358,356,gave
195,247,subject
21,10,hmmm
543,905,different
383,379,behind
23,30,closed
33,37,doors
1095,1015,fact
726,397,either
348,287,extremely
845,155,stupid
8,1,sickest
3,4,liars
419,457,hope
91,130,latter
383,709,classic
499,789,war
20,63,worlds
26,47,timothy
26,9,hines
371,503,entertaining
437,244,obviously
748,703,goes
1604,3866,great
306,144,effort
10,8,lengths
6,12,faithfully
9,11,recreate
58,131,h
132,157,g
23,61,wells
752,643,book
350,444,mr
37,70,succeeds
31,98,appreciated
132,129,standard
363,128,predictable
567,651,hollywood
52,74,fare
723,747,comes
1221,1191,every
672,762,year
230,257,e
33,59,spielberg
631,683,version
211,240,tom
44,37,cruise
63,17,slightest
34,31,resemblance
619,742,everyone
919,545,looks
2,6,envision
98,21,amateur
108,146,critics
1388,1164,look
15,15,criticize
703,714,everything
417,586,others
179,191,rate
238,351,important
5,13,bases
74,67,entertained
2027,1938,never
170,164,agree
222,565,enjoyed
784,659,put
41,70,faithful
264,291,novel
783,791,found
161,315,easy
19,27,overlook
7,14,perceive
22,24,shortcomings
6,62,superbly
42,23,trashy
0,2,wondrously
1,14,unpretentious
93,62,exploitation
7,6,hooray
66,116,pre
250,160,credits
309,291,opening
199,248,sequences
252,315,somewhat
64,54,false
133,122,impression
1580,1219,re
56,117,dealing
301,300,serious
11,21,harrowing
318,526,drama
594,514,need
165,177,fear
198,86,barely
269,228,ten
537,798,later
7,7,necks
32,10,nonsensical
31,16,chainsaw
35,49,battles
39,81,rough
26,13,fist
95,85,fights
5,13,lurid
52,36,dialogs
109,50,gratuitous
264,119,nudity
63,19,bo
14,22,ingrid
1942,2186,two
0,4,orphaned
12,24,siblings
3,25,unusually
374,389,close
4664,3007,even
147,184,slightly
15,13,perverted
182,386,relationship
247,199,imagine
1,6,playfully
32,10,ripping
14,5,towel
26,60,covers
203,284,sister
163,97,naked
359,258,body
24,15,stare
1,1,unshaven
15,3,genitals
373,470,several
36,23,judging
88,49,dubbed
85,70,laughter
1624,1195,doesn
185,130,sick
83,27,dude
610,508,kids
4,10,fled
24,24,russia
188,268,parents
121,105,nasty
141,117,soldiers
22,25,brutally
