palabra	frecPos	frecNeg
stuff	292	416
going	1086	1408
moment	360	302
mj	28	0
ve	1406	1696
started	254	323
listening	61	54
music	1038	840
watching	1161	1558
odd	182	180
documentary	314	226
watched	662	687
wiz	1	6
moonwalker	13	0
maybe	562	856
want	922	1293
get	2552	3079
certain	292	195
insight	64	48
guy	646	1225
thought	977	1048
really	3327	3825
cool	297	279
eighties	43	30
make	2044	2892
mind	600	629
whether	280	248
guilty	68	53
innocent	152	93
part	1219	1180
biography	29	23
feature	264	222
film	12601	11846
remember	562	472
see	3585	3280
cinema	509	384
originally	97	81
released	324	240
subtle	202	65
messages	38	52
feeling	379	344
towards	196	177
press	32	49
also	3323	2218
obvious	257	415
message	280	231
drugs	98	105
bad	1122	4513
m	1202	1845
kay	28	22
visually	92	48
impressive	191	103
course	847	694
michael	511	319
jackson	128	80
unless	81	339
remotely	12	106
like	5437	6913
anyway	278	392
hate	208	268
find	1365	1109
boring	223	862
may	1162	859
call	221	332
egotist	2	2
consenting	2	1
making	726	1068
movie	11437	14981
fans	466	376
would	3203	4237
say	1467	1815
made	2257	2795
true	865	538
nice	646	520
actual	204	266
bit	1045	763
finally	479	442
starts	330	410
minutes	494	1267
excluding	4	3
smooth	55	13
criminal	128	77
sequence	282	260
joe	255	196
pesci	7	11
convincing	153	149
psychopathic	10	3
powerful	303	85
drug	114	127
lord	136	97
wants	428	365
dead	467	639
beyond	215	312
overheard	3	2
plans	80	59
nah	2	5
character	2126	2142
ranted	2	0
wanted	324	477
people	2676	2941
know	1657	2040
supplying	5	2
etc	329	398
dunno	2	12
hates	30	31
lots	232	250
things	1108	1140
turning	86	114
car	299	460
robot	64	67
whole	781	1054
speed	78	68
demon	42	67
director	1224	1490
must	1064	931
patience	18	30
saint	29	12
came	545	471
filming	98	139
kiddy	3	1
usually	271	323
directors	206	206
working	289	208
one	8172	7914
kid	314	401
let	538	865
alone	324	350
bunch	147	361
performing	59	28
complex	193	74
dance	260	174
scene	1600	1705
bottom	71	178
line	511	619
level	300	309
another	1274	1370
think	2253	2211
stay	193	299
away	800	893
try	471	613
give	931	1140
wholesome	17	12
ironically	47	24
bestest	1	0
buddy	83	73
girl	841	867
truly	582	442
talented	195	180
ever	1681	1995
grace	103	108
planet	152	149
well	3756	2600
attention	289	252
gave	356	358
subject	247	195
hmmm	10	21
different	905	543
behind	379	383
closed	30	23
doors	37	33
fact	1015	1095
either	397	726
extremely	287	348
stupid	155	845
sickest	1	8
liars	4	3
hope	457	419
latter	130	91
classic	709	383
war	789	499
worlds	63	20
timothy	47	26
hines	9	26
entertaining	503	371
obviously	244	437
goes	703	748
great	3866	1604
effort	144	306
lengths	8	10
faithfully	12	6
recreate	11	9
h	131	58
g	157	132
wells	61	23
book	643	752
mr	444	350
succeeds	70	37
appreciated	98	31
standard	129	132
predictable	128	363
hollywood	651	567
fare	74	52
comes	747	723
every	1191	1221
year	762	672
e	257	230
spielberg	59	33
version	683	631
tom	240	211
cruise	37	44
slightest	17	63
resemblance	31	34
everyone	742	619
looks	545	919
envision	6	2
amateur	21	98
critics	146	108
look	1164	1388
criticize	15	15
everything	714	703
others	586	417
rate	191	179
important	351	238
bases	13	5
entertained	67	74
never	1938	2027
agree	164	170
enjoyed	565	222
put	659	784
faithful	70	41
novel	291	264
found	791	783
easy	315	161
overlook	27	19
perceive	14	7
shortcomings	24	22
superbly	62	6
trashy	23	42
wondrously	2	0
unpretentious	14	1
exploitation	62	93
hooray	6	7
pre	116	66
credits	160	250
opening	291	309
sequences	248	199
somewhat	315	252
false	54	64
impression	122	133
re	1219	1580
dealing	117	56
serious	300	301
harrowing	21	11
drama	526	318
need	514	594
fear	177	165
barely	86	198
ten	228	269
later	798	537
necks	7	7
nonsensical	10	32
chainsaw	16	31
battles	49	35
rough	81	39
fist	13	26
fights	85	95
lurid	13	5
dialogs	36	52
gratuitous	50	109
nudity	119	264
bo	19	63
ingrid	22	14
two	2186	1942
orphaned	4	0
siblings	24	12
unusually	25	3
close	389	374
even	3007	4664
slightly	184	147
perverted	13	15
relationship	386	182
imagine	199	247
playfully	6	1
ripping	10	32
towel	5	14
covers	60	26
sister	284	203
naked	97	163
body	258	359
stare	15	24
unshaven	1	1
genitals	3	15
several	470	373
judging	23	36
dubbed	49	88
laughter	70	85
doesn	1195	1624
sick	130	185
dude	27	83
kids	508	610
fled	10	4
russia	24	24
parents	268	188
nasty	105	121
soldiers	117	141
brutally	25	22
slaughtered	6	16
mommy	3	10
daddy	22	42
friendly	79	34
smuggler	4	2
took	356	328
custody	9	16
however	1136	1058
raised	59	48
trained	38	18
expert	59	45
smugglers	1	1
plot	1453	2518
lifts	18	8
years	1590	1075
facing	35	15
ultimate	105	55
quest	66	51
mythical	14	12
incredibly	141	233
valuable	27	31
white	467	455
fire	181	198
diamond	37	36
coincidentally	5	11
mine	95	67
life	2548	1461
little	2006	1825
sense	606	800
narrative	152	119
structure	61	60
sure	737	874
lot	1246	1137
fun	1010	578
watch	2085	2111
time	3877	3745
clue	37	103
beating	44	46
cause	149	170
bet	59	81
actors	1242	1479
understood	62	42
less	554	621
whatever	146	293
violence	335	356
magnificently	16	2
grotesque	23	22
single	230	327
twist	144	182
pleasingly	5	0
retarded	22	83
script	586	1249
totally	334	438
bonkers	8	3
repair	10	7
suddenly	134	188
won	549	483
reveal	79	39
reason	478	962
needs	271	237
replacement	15	16
fred	82	88
williamson	4	9
enters	50	34
big	1117	1025
cigar	2	11
mouth	66	134
sleazy	54	52
black	627	643
fingers	15	32
local	271	254
prostitutes	14	14
principal	40	21
opponent	16	8
italian	204	141
chick	34	96
breasts	30	52
hideous	11	51
accent	118	181
preposterous	13	42
catchy	24	23
theme	287	209
song	368	248
plays	802	501
least	638	1216
dozen	42	81
times	1089	863
throughout	456	337
obligatory	16	28
falling	118	112
love	2521	1278
montage	34	28
loads	35	28
attractions	4	7
god	267	445
brilliant	549	180
experience	383	250
original	792	1263
french	323	172
title	396	473
translates	5	5
survive	80	74
uniquely	15	4
appropriate	83	46
makes	1401	1080
much	2733	3043
rest	457	620
none	203	440
dont	12	30
got	1004	1186
pretty	940	1294
good	4616	4455
action	1109	929
change	345	253
location	99	98
harry	169	66
hurt	107	127
offensive	25	106
eastwood	50	26
form	280	186
dirty	112	78
liked	569	371
pat	38	46
hingle	6	0
small	608	417
town	423	334
cop	143	223
better	1432	1981
pool	45	36
full	596	491
references	88	63
mad	142	163
max	76	56
ii	95	137
wild	161	106
many	2279	1813
ladybug	4	1
face	504	503
clear	249	235
reference	50	54
tribute	54	37
peter	272	191
lorre	13	5
masterpiece	266	107
ll	804	945
talk	230	286
future	377	205
although	894	643
generally	135	167
remakes	11	36
believing	40	45
waste	62	830
exception	102	134
didn	1022	1630
actually	1043	1509
far	819	1023
reading	183	216
previous	201	189
comment	187	204
remake	116	255
opinion	303	249
purely	48	61
comparison	68	86
story	3950	3084
way	2463	2444
written	445	461
question	207	207
capote	44	2
words	258	276
play	788	619
anthony	88	81
edwards	16	5
eric	93	58
roberts	41	49
superb	351	58
seen	2091	1969
movies	2130	2439
case	435	500
always	1288	704
wondered	39	34
number	351	249
famous	281	186
star	656	575
brother	396	249
certainty	7	4
clearly	249	297
top	634	477
profession	20	17
recommend	616	397
films	2313	1910
keep	486	472
dvd	768	633
shelves	12	14
harvey	30	39
lights	67	51
candle	21	7
anchored	5	3
performance	1174	560
spall	8	1
predict	21	20
titular	16	11
morose	6	6
tight	84	30
teacher	90	101
sort	361	498
break	166	180
catharsis	5	3
based	459	389
deep	239	137
secret	198	167
past	471	292
emotions	181	55
unveiled	1	2
surprising	134	54
range	85	63
feelings	176	71
conveyed	22	15
quite	1283	970
moving	363	162
gets	907	1063
portray	90	68
mike	72	101
leigh	19	31
repertory	3	0
expected	193	239
school	493	524
bus	56	52
trip	164	133
used	533	566
comic	308	234
purposes	27	29
simpsons	17	13
central	157	109
situation	239	173
visit	94	59
salisbury	3	0
cathedral	6	4
rhidian	1	0
brook	4	4
contained	35	29
structured	10	11
dramatic	246	160
almost	929	962
formally	2	0
divided	22	11
acts	113	140
introduced	98	100
urban	89	29
british	308	214
racially	3	4
religiously	6	2
diverse	25	8
uniforms	9	14
couldn	288	601
tell	466	597
private	94	73
public	170	176
gather	30	22
rapping	2	4
south	186	106
asians	4	2
muslims	10	25
bullies	12	9
mean	331	686
girls	339	380
naturally	77	93
individually	6	5
young	1437	753
recognized	51	21
tv	863	876
shameless	8	26
exuberant	13	1
representing	11	11
usual	329	256
junior	29	34
high	658	637
social	207	131
pressures	15	2
celia	1	6
imrie	1	0
puts	145	94
warmth	35	12
supervisor	4	4
role	1154	773
martinets	1	0
leads	259	192
transformative	4	0
crisis	59	36
remain	71	61
amusingly	9	8
oblivious	11	15
portrayed	206	147
ben	217	172
miles	92	71
coupling	5	1
spoon	5	11
fed	19	28
didactic	3	3
lesson	86	76
religious	87	96
tolerance	13	16
faith	91	81
bbc	75	45
showed	149	122
england	121	54
easter	4	7
america	266	189
u	187	115
christmas	160	208
nathalie	3	2
summer	154	101
key	154	108
redemption	51	26
could	1921	2818
played	941	613
week	143	141
preaching	10	15
touching	216	52
reach	83	76
unexpected	106	38
unfortunately	254	560
saw	999	904
intense	171	59
interrupted	18	8
commercials	32	50
heavy	142	150
handed	38	70
pointedly	2	1
calling	45	65
road	137	122
pilgrimage	12	0
quiet	116	53
best	2600	1276
evocation	6	0
men	665	521
holiday	39	46
themed	14	15
among	271	181
indian	147	104
fade	21	23
passage	19	10
spell	39	37
binding	4	1
appeal	118	156
diminish	11	1
transforms	13	12
abyss	7	6
artificially	7	7
styled	7	6
pop	105	85
culture	177	127
drill	6	14
oriented	27	13
extras	61	73
take	1048	1097
enhancing	5	0
p	103	125
songs	346	228
cinematography	374	246
speaks	55	61
excellent	1012	259
skills	94	77
josef	3	1
werching	1	0
accentuate	4	3
monumental	18	6
scope	41	26
effect	199	183
entirety	14	21
gone	228	230
days	432	355
clipped	3	2
retakes	3	2
taken	308	286
finalizing	2	0
meticulous	8	2
paid	50	158
crafting	6	0
editing	180	273
scenes	1457	1700
poignant	82	16
filled	182	141
sublime	27	8
emotional	276	122
intensity	69	34
instance	82	100
meena	13	1
kumari	13	1
refuses	70	30
yes	436	496
approval	11	4
nikah	1	0
marriage	148	74
bond	150	44
climbs	15	7
hill	65	88
running	256	344
berserk	10	7
traumatized	14	14
frenzy	15	11
raj	30	23
kumar	25	21
follows	175	120
strong	479	207
gale	2	12
wind	83	62
blew	36	24
veil	6	5
onto	88	109
legs	44	45
kamal	9	12
amrohi	8	1
shall	42	32
remembered	105	55
golden	114	44
annals	5	3
history	489	314
endeavoring	1	0
complete	245	404
record	89	64
setting	203	165
manage	69	102
vital	22	21
without	974	1008
ups	91	76
lady	274	237
lead	396	411
terminally	4	5
ill	78	107
fighting	196	179
early	582	384
especially	951	601
understand	499	500
loss	92	80
feel	958	832
loneliness	39	8
cheadles	1	0
johnson	70	63
reflected	18	6
total	120	269
opposite	93	75
sandlers	1	0
fineman	26	0
felt	422	492
trapped	49	56
blessings	3	2
trying	583	916
forget	220	213
perspective	105	58
jada	11	1
wonderful	830	180
additive	1	0
cast	1261	1026
sandler	71	28
pulls	77	36
tears	142	60
cheadle	41	0
supporter	10	6
oscars	63	33
somewhere	115	209
fine	497	300
lost	519	466
assure	14	19
jerry	91	94
soylent	19	8
green	124	105
disturbing	152	143
science	169	162
fiction	165	109
still	1964	1332
persuasive	8	2
today	576	183
standards	103	107
flawed	63	36
dated	105	57
apocalyptic	18	14
touch	180	113
environmental	6	5
premise	138	283
typical	272	193
unsettling	34	16
provoking	79	29
quality	346	444
surpasses	14	4
majority	74	71
contemporary	87	43
sf	19	14
flicks	72	132
personally	159	124
consider	150	151
new	1413	1124
york	302	180
depressing	66	83
place	779	701
alive	137	140
population	39	45
unemployment	7	3
unhealthy	4	7
climate	20	6
scarcity	2	1
food	101	98
product	52	73
available	151	74
synthetic	4	3
distributed	12	14
company	173	155
charlton	20	14
heston	40	34
shape	59	42
investigating	18	23
murder	376	263
eminent	5	0
executives	15	20
stumbles	14	20
upon	272	242
scandals	3	2
dark	502	357
secrets	47	26
sentimental	61	28
climax	129	139
come	939	978
surprise	239	178
atmosphere	300	141
tense	69	19
uncanny	20	11
riot	32	22
grueling	5	4
easily	278	256
macabre	29	11
moments	542	439
edward	74	53
robinson	34	16
ultimately	164	141
last	895	831
modest	24	18
supportive	15	13
joseph	87	49
cotton	4	12
baron	13	21
blood	283	419
abominable	4	12
dr	217	212
phibes	3	1
nightmarish	17	9
inevitable	41	32
humanity	99	65
fancy	36	33
space	217	247
ships	30	22
hairy	5	17
monsters	55	112
attacking	12	25
stearns	1	0
sexually	41	45
frustrated	37	33
individual	96	55
interesting	889	1002
moral	132	104
attitude	96	57
sexuality	68	34
problem	303	559
ogling	5	5
dancers	37	35
women	539	582
start	465	556
sex	362	657
loses	83	68
believes	88	59
lose	145	72
innocence	75	27
beauty	303	90
strolls	2	2
hills	38	74
stalking	12	18
lovemaking	6	3
couples	19	26
distance	33	40
shooting	116	155
powered	12	14
rifle	45	11
seeming	19	17
primary	41	31
existence	86	76
indulge	10	13
sexual	252	234
activity	15	27
afterthought	5	13
bound	62	41
happily	38	40
heterosexual	8	6
male	185	231
pleased	53	17
treated	71	103
enough	852	1188
protracted	4	7
ladies	107	77
awfully	13	40
sans	12	8
clothes	84	124
serve	46	51
major	259	323
dose	28	21
titillation	2	8
seeing	670	576
fair	117	161
deal	250	201
creepiness	11	14
factor	60	66
considerably	24	17
illustrates	17	6
compulsion	6	2
voyeurism	8	6
thing	976	1715
eyes	366	362
pulling	34	34
trigger	16	17
underscored	5	0
intrusive	5	12
atmospheric	53	38
soundtrack	282	191
penchant	10	9
trash	75	221
enjoy	692	402
degree	63	67
includes	123	88
