palabra	frecPos	frecNeg
stuff	292	415
going	1086	1409
moment	358	301
mj	24	0
ive	922	1069
started	254	323
listening	61	54
music	1031	833
watching	1161	1560
odd	182	181
documentary	311	222
watched	662	687
wiz	1	6
moonwalker	13	0
maybe	560	856
just	4352	6353
want	919	1292
certain	292	196
insight	64	48
guy	632	1190
thought	974	1047
really	3326	3825
cool	296	278
eighties	43	30
make	2041	2888
mind	592	628
guilty	68	53
innocent	152	93
biography	29	21
feature	264	221
film	12273	11554
remember	559	471
cinema	499	377
originally	97	81
released	324	240
subtle	202	65
messages	38	52
mjs	4	0
feeling	377	344
press	32	49
obvious	257	414
message	280	231
drugs	96	104
bad	1116	4510
mkay	1	0
br	14623	16027
visually	92	48
impressive	191	103
course	846	692
michael	496	303
jackson	104	62
unless	80	339
remotely	12	106
like	5431	6909
hate	199	266
boring	222	864
egotist	2	2
consenting	2	1
making	726	1068
movie	11302	14838
fans	466	376
say	1465	1814
true	861	538
nice	645	519
actual	204	266
bit	1046	762
finally	479	442
starts	330	411
	14339	16312
minutes	494	1269
excluding	4	3
smooth	55	13
criminal	127	76
sequence	281	260
joe	247	194
pesci	5	10
convincing	152	150
psychopathic	10	3
powerful	302	85
drug	113	123
lord	133	91
wants	431	369
dead	463	638
overheard	3	2
plans	79	58
nah	2	5
pescis	2	1
character	2051	2037
ranted	2	0
wanted	324	477
people	2623	2880
know	1654	2035
supplying	5	2
dunno	2	12
hates	30	31
lots	235	251
things	1111	1143
turning	86	114
car	296	455
robot	62	66
speed	77	68
demon	41	61
director	1091	1318
patience	18	30
saint	28	12
came	545	471
filming	98	138
kiddy	3	1
usually	271	321
directors	272	281
working	289	207
kid	292	387
let	395	596
bunch	146	360
performing	58	28
complex	192	74
dance	259	172
scene	1590	1694
line	506	619
level	299	309
think	2253	2208
stay	192	299
away	798	891
does	1871	1743
try	470	612
wholesome	17	12
ironically	47	24
bestest	1	0
buddy	81	69
girl	801	821
truly	582	442
talented	194	180
grace	99	106
planet	141	147
attention	288	251
gave	356	359
subject	242	194
hmmm	10	21
dont	1987	3157
different	903	542
closed	30	23
doors	37	33
fact	1015	1095
extremely	287	348
stupid	155	843
sickest	1	8
liars	4	3
hope	455	417
classic	708	381
war	786	494
worlds	101	57
timothy	47	26
hines	9	26
entertaining	503	371
obviously	243	437
goes	702	749
great	3864	1602
effort	144	306
lengths	8	10
faithfully	12	6
recreate	11	9
h	118	43
g	128	125
wells	59	24
book	633	744
mr	441	350
succeeds	70	37
doing	415	582
appreciated	98	31
standard	130	132
predictable	128	363
hollywood	611	533
fare	74	52
comes	745	724
year	735	645
e	177	191
spielberg	47	24
version	682	629
tom	232	198
